FL AL
AL GA
MS AL
AL TN
LA AR
AR MO
MS AR
AR OK
AR TN
TX AR
AZ CA
NM AZ
AZ NV
AZ UT
CA NV
CA OR
KS CO
CO NE
NM CO
OK CO
CO UT
CO WY
CT MA
CT NY
CT RI
DE MD
DE NJ
DE PA 
FL GA
GA NC
GA SC
GA TN
IL IA
IA MN
MO IA
NE IA
IA SD
IA WI
ID MT
NV ID
ID OR
UT ID
ID WA
WY ID
IL IN
KY IL
MO IL
IL WI
KY IN
IN MI
IN OH
KS MO
KS NE
OK KS
KY MO
KY OH
TN KY
KY VA
KY WV
LA MS
LA TX
MA NH
MA NY
RI MA
MA VT
MD PA
VA MD
WV MD
NH ME
OH MI
WI MI
MN ND
SD MN
WI MN
MO NE
OK MO
TN MO
MS TN
MT ND
SD MT
WY MT
SC NC
TN NC
NC VA
SD ND
NE SD
NE WY
NH VT
NJ NY
NJ PA
NM OK
TX NM
NV OR
UT NV
PA NY
NY VT
OH PA
WV OH
TX OK
OR WA
WV PA
WY SD
TN VA
UT WY
VA WV
